prompt,completion
"""Twenty-six men named William have been elected to statewide office and only seven women have had the honor.""Ruth’s List Florida said that ""26 men named William have been elected to statewide office and only seven women have had the honor.""
Because of changes in state government and elections, plus how officeholders came by their positions, it’s difficult to parse the exact count the group came up with. The total of officials we could confirm were elected and not appointed was 14 Williams (although there could be more) and eight women. That’s off from the numbers in the email, but the gist of the statement is still defensible. There have been many more men named William than women holding major elected offices in Florida.
We rate the statement Mostly True.
sub-questions:","1. Have more men then women been elected to statewide office in Florida?
2. Have exactly 26 men named William been elected to statewide office in Florida?
3. Is it accurate to say more men named William have been elected to Florida statewide office than women?
4. Have twenty - six men named William been elected to Florida's state government?
5. Have seven women been elected to Florida's state government?
6. Have more men named William than women been elected to Florida's state government?"
"""If your employer is mandating any pokes, do not quit. Make them fire you. That way you get unemployment benefits.""A Facebook post said, ""If your employer is mandating any pokes, do not quit. Make them fire you. That way you get unemployment benefits and can pursue legal action.""
Unemployment benefits are not guaranteed to people who get fired for refusing to comply with a company’s vaccine requirements. On the contrary, legal experts said that while state guidelines vary, it’s more likely that a worker in that situation would be denied such benefits for violating company policy.
We rate this post False.
sub-questions:","1. Can you be fired for refusing to comply with vaccine mandates?
2. Are you eligible for unemployment benefits if you are fired for this reason?
3. Are you guaranteed unemployment benefits if you are fired for this reason?
4. Will you receive unemployment benefits if you get fired?
5. Is unemployment guaranteed if you quit because you don't get vaccinated?"
"Says Mike DeWine took $40,000 from ECOT and ""did nothing while the online for-profit school lied about enrollment and took millions meant for our kids.""An AFSCME ad said DeWine took $40,000 from ECOT and ""did nothing while the online for profit school lied about enrollment and took millions meant for our kids.""
DeWine received donations from the school but later donated the bulk of them. The ad puffs up the donations by largely including money donated from ECOT officials to DeWine’s running mate Husted when he was in the Legislature. Husted joined DeWine’s ticket for governor in December and then merged their campaign accounts.
It’s an exaggeration to state that DeWine did ""nothing"" -- but he didn’t take legal action until the education department was sued in 2016. He then filed litigation in August in an effort to recoup money.
DeWine argues that he had to wait for other actions by the court or state offices to step in, though critics say he could have been more aggressive. The warning signs about ECOT had been documented in news articles for many years, and yet the state government as a whole was slow to act.
We rate this claim Half True.
sub-questions:","1. Did DeWine receive donations from the school?
2. Did all of these donated funds come from DeWine himself?
3. Was this for-profit school lying about enrollment?
4. Did DeWine promptly take legal action against the school for lying about enrollment?
5. Did Mike take $40,000 from ECOT?
6. Did ECOT lie about enrollment?Did ECOT take millions meant for kids?
7. Do we know if Mike received exactly $40,000 from ECOT?"
"""Sixty percent of the auto thefts that we have in (St. Petersburg) are caused by people leaving their keys in the car.""Foster said that 60 percent of car thefts occur because the owner left keys inside the vehicle. In St. Petersburg this year, it’s actually 83.4 percent. An expert said that might be tops in the country.
The specific number aside, Foster’s point that many auto thefts can easily be avoided is 100 percent on the mark. We rate this claim True.
sub-questions:","1. Did Foster cite generally accurate causes for auto thefts in St Petersburg’?
2. Are there auto thefts occurring in St Petersburg?
3. Are 60% of auto thefts in St Petersburg because of people leaving keys in there cars?
4. Are 60% of auto thefts in St. Petersburg caused by people leaving their keys in the car?
5. Are owners leaving keys in their cars the primary reason for Auto thefts in St. Petersburg?
6. Are most auto thefts in St. Petersburg avoidable?"
"Says drinking cream of tartar mixed with orange juice daily will help people quit smoking because it ""flushes the nicotine"" out of the body.A viral Facebook post says people can easily quit smoking by mixing cream of tartar and orange juice because it helps remove nicotine from the body.
This claim relies on unsubstantiated pseudoscience. No credible evidence supports it.
We rate it Pants on Fire!
sub-questions:","1. Does a mix of cream of tarter and OJ daily flush nicotine out of the body?
2. Does flushing nicotine out of the body help people quit smoking?
3. Can cream of tartar and orange juice flush nicotine out of the body?
4. Can cream of tartar and orange juice help with quitting smoking?
5. Is it safe to drink a mix of cream of tartar and orange juice?"
"Says Georgia’s secretary of state won’t let the people recounting ballots check the signatures for fraud.Trump said Georgia’s secretary of state won’t allow people recounting ballots to check the signatures for fraud.
This reflects a flawed understanding of how mail-in votes work. Before a mailed ballot is counted, the voter’s signature has already been verified. In Georgia, it is verified twice.
To protect the privacy of the vote, after verification, every state separates the ballot from the signed envelope it came in. By design, there is no way to reunite the two pieces of paper.
A recount can only be a recount of ballots, and Trump and his campaign knew that months ago.
We rate this claim Pants on Fire!
This fact check is available at IFCN’s 2020 US Elections FactChat #Chatbot on WhatsApp. Clickhere, for more.
CORRECTION, April 26, 2022: A March 6, 2020, settlement agreement spelled out the process by which Georgia election officials would notify voters of an issue with their signature on a mail-in ballot. An earlier version of this post inaccurately described the document as a ""consent decree."" This fact-check has been updated for accuracy. The rating is unchanged.
sub-questions:","1. Is there any proof Georgia’s SOS wouldn’t allow a ballot recount to check signatures for fraud?
2. Was there any proof/reason the Georgia SOS should have recounted the ballot signatures for fraud?
3. Does voter fraud occur through signatures as Trump suggested?
4. Are ballot signatures checked for fraud after ballots have been cast in Georgia?
5. Does a ballot recount entail anything other than the recount itself?
6. Are the signatures separated from the ballots at any point?"
"""Almost every poll has shown that Sanders vs. Trump does a lot better than Clinton vs. Trump … and, that’s true nationally.""Sanders said that ""almost every poll has shown that Sanders vs. Trump does a lot better than Clinton vs. Trump ... and, that’s true nationally.""
On the numbers, Sanders is right. He runs stronger against Trump than Clinton in six of the seven national head-to-head polls since Jan. 1. However, polling experts say such results should be taken with a grain of salt, since polls taken well before the start of the general-election contest have historically not been very accurate predictors of the November results.
The statement is accurate but needs additional context, so we rate it Mostly True.
sub-questions:","1. Did polls generally show that Sanders is a stronger candidate against Trump than Hillary?
2. Do experts agree that the polls accurately predict portray possible results?
3. Does Bernie have a more favorable rating than Clinton against Trump?
4. Are these polls cited by Sanders on the national scale?
5. Are these polls an accurate predictor of the election results?"
"Says a proposed change to Illinois’ gambling law would result in ""lower taxes paid to the state and higher taxes paid"" to Chicago from a city casino so that the total amount would be the same, but the city would get to ""keep more of it.""Speaking about a proposal to change the tax structure for a future Chicago casino, Syverson said the plan would lower taxes paid by the casino to the state and increase the taxes it pays to the city so that the overall amount would be the same but Chicago would ""keep more of it.""
That doesn’t entirely square with the language of the bill. As he said, it would have reduced tax revenue for the state — but it also would have lowered taxes paid to the city.
Syverson conceded that last point in response to our inquiry.
We rate his claim Half True.
HALF TRUE– The statement is partially accurate but leaves out important details or takes things out of context.
Click herefor moreon the six PolitiFact ratings and how we select facts to check.
sub-questions:","1. Would this proposed change to gambling law allow Chicago to keep more money?
2. Does the plan actually say lower taxes would be paid to the state and increase to the city?
3. Would Chicago receive the same or more in funds from this proposal? 
4. Will the change in the gambling law result in Chicago casinos paying higher taxes to the city?
5. Will the change in the gambling law result in Chicago casinos paying higher taxes to Illinois?
6. Is the total amount in taxes due from Chicago casinos changing?"
"""David Cicilline was the state representative who opposed tough mandatory sentences for those convicted of domestic violence  and child abuse.""Brendan Doherty’s campaign said David Cicilline voted against a 1995 bill that imposed harsher sentences on those convicted a second time of domestic violence and a 1996 bill that did the same for convicted child abusers.The legislative record shows Cicilline did vote against both bills. We rule Doherty’s statement True.(Get updates fromPolitiFactRI on Twitter. To comment or offer your ruling, visit us on ourPolitiFact Rhode Island Facebookpage.)
sub-questions:","1. Was Cicilline the state rep opposing tough mandatory sentences for DV and abuse convictions?
2. Did Cicilline vote against mandatory sentences for DV and child abuse convictions?
3. Did Cicilline oppose harsher sentences for those convicted of domestic abuse 
4. Did Cicilline oppose harsher sentences for those convicted of child abuse?"
"""President Trump continues to disrespect patriotic transgender Americans who want to serve their country.""Tammy Baldwin told a Human Rights group that ""President Trump continues to disrespect patriotic transgender Americans who want to serve their country.""
There are ample reports that the administration is continuing its attempts to bar transgender individuals from the military, including updating and adjusting its policy as court rulings roll in. Having said that, it’s important to note that the issue is still winding its way through the courts, so a ban is not in place at this time. We rate the claim Mostly True.
sub-questions:","1. Is is true Trump continues to disrespect transgender Americans who want to serve their country?
2. Are Trumps policy updates and adjustments disrespectful/barring to transgender Americans who want to serve their country?
3. Does Trumps disrespect to transgender Americans reflect in them being unable to serve in the military?
4. Is Trump attempting to bar transgender Americans from the military?
5. Is Trump adjusting this policy as court rulings change?
6. Is a complete ban in place at this time?"
"“If you take the vaccine, you'll be enrolled in a pharmacovigilance tracking system. It means that you've enrolled yourself in a medical trial.”Gold said, ""If you take the vaccine, you'll be enrolled in a pharmacovigilance tracking system. It means that you've enrolled yourself in a medical trial.""
Anonymized data from a CDC system will be used to help federal agencies keep track of vaccine distribution, not the people who are vaccinated. Another optional part of the system will allow vaccine recipients to report any adverse side effects.
Trials to test the safety and efficacy of the COVID-19 vaccines were done before they were approved for emergency use. Signing up to receive the COVID-19 vaccine does not automatically enroll a patient in a clinical trial.
We rate this claim False.
sub-questions:","1. Does taking the vaccine mean automatic enrollment in a pharmacovigilance tracking system?
2. is there any such thing/any proof of a pharmacovigilance tracking system to have ever existed?
3. Does a pharmacovigilance tracking system equate to a medical trial?
4. Are all vaccinated individuals automatically enrolled in a medical trial?
5. Are all vaccinated individuals enrolled in a location tracking system?
6. Have the vaccines been appropriately tested and approved?"
"Old City in Philadelphia ""used to have more than a dozen clubs and that's what we were known for and now we’re down to two.""Old City District executive director Job Itkowitz claimed the number of Old City clubs had declined from more than a dozen to two. We found at least 10 clubby establishments that have closed in the last several years, and going by different interpretations of ""club"" Old City has somewhere between one and four clubs.
We rule the statement Mostly True.
sub-questions:","1. Did Old City have a decrease in the number of their clubs?
2. Does Old City have any other types of clubs?
3. Is Old City currently only have two clubs open?
4. Is Old City in Philadelphia known for it’s clubs?
5. Are clubs closing down in Old City?
6. Did Old City used to have more than a dozen clubs?"
"""They banned face masks in Hong Kong. Why? Because they have AI technology that now is using facial recognition to identify protesters if they so much as do anything on the street, so they can follow up with them and detain them later.""Yang said, ""They banned face masks in Hong Kong. Why? Because they have AI technology that now is using facial recognition to identify protesters if they so much as do anything on the street, so they can follow up with them and detain them later.""
Yang’s claim is on the right track; the government in Hong Kong has tried to ban the use of face masks, and it is reportedly capable of using facial recognition technology against its protesters.
But the ban has been lifted for the time being, and it has not been definitively reported that the city’s law enforcement authorities are using facial recognition to find and hold suspects.
Overall, the statement is partially accurate but leaves out important context. We rate it Half True.
sub-questions:","1. Has Hong Kong tried to ban face masks?
2. Is Hong Kong using facial recognition to identify and detain protestors?
3. Is Hong Kong currently banning face masks?
4. Were face masks actually banned in Hong Kong?
5. Is there actually AI technology in Hong Kong that uses facial recognition?
6. Is AI tech in Hong Kong used to identify protestors and/or detain them later?"
"Says LeBron James said, “We’re at the point where a girl can’t even stab her friends anymore.”A Facebook post claims LeBron James said ""we’re at the point where a girl can’t even stab her friends anymore."" The quote was fabricated by a satirical website and then reshared without any indication it was intended as satire.
We rate this post Pants on Fire!
sub-questions:","1. Is there proof Lebron James said ““ We ’re at the point where a girl ca n’t even stab her friends anymore . ””
2. Did Lebron James explicitly say “ We ’re at the point where a girl ca n’t even stab her friends anymore . ”?
3. Did LeBron say that girls used to be able to stab their friends? 
4. Did LeBron say that girls cannot stab their friends anymore?"
"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support – by a majority of North Carolinians and members of both parties.""Sen. Jay Chaudhuri proposed a bill that would require future presidential candidates to release their tax returns in order to get onto North Carolina’s ballot. The bill was clearly aimed at Republican President Donald Trump, but Chaudhuri said it ""has a lot of support – by a majority of North Carolinians and members of both parties.""
According to one polling firm, Chaudhuri is correct that most North Carolinians want to see Trump’s tax returns, and that the majority also would support a law requiring all presidential candidates to release their taxes. He’s also correct that both issues have bipartisan support, including most Democrats and independents, and about a third of Republicans.
However, only one pollster has explored this question at the state level. That’s an important piece of information that Chaudhuri doesn’t mention, so we rate this claim Mostly True.
sub-questions:","1. Are Chaudhuri’s statements about having support from a majority of North Carolinians and members of both parties verifiable across multiple sources?
2. Did the TRUMP act have a lot of support from a majority of North Carolinians and members of both parties?
3. Do the majority of North Carolinians support the release of a president's tax returns?
4. Do the majority of North Carolinians support the release of Trump's tax returns?
5. Do both of these issues have widespread bipartisan support?
6. Are these statistics backed up by multiple polling statistics?"
"Says Jimmy Carter was the last ""U.S. president to say flat out those (Israeli) settlements are illegal.""Williamson said that Jimmy Carter was the last ""U.S. president to say flat out those (Israeli) settlements are illegal.""
We couldn’t find an example of Carter actually using the word ""illegal"" to refer to Israeli settlements while he was president. However, he did as an ex-president, and experts agreed that his rhetoric came closer than the words used by his successors in the Oval Office.
At the same time, it’s important to note that subsequent presidents’ actual policies may have had more teeth than Carter’s, despite his tougher rhetoric.
We rate the statement Half True.
sub-questions:","1. Did Carter actually say Israeli settlements are illegal?
2. Was Carter the last president to say Israeli settlements are illegal?
3. Has there been no other president to comment on the illegality of Israeli settlements?
4. Did Carter verbatim say that the settlements are illegal?
5. Did Carter ever imply that the settlements are illegal?
6. Was Carter's policy on the settlements tougher than any subsequent president?"
"Says Chris Koster ""fell silent"" as attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting ""over $12,000 in campaign contributions' from people affiliated with the service.""Greitens said Koster ""fell silent"" as attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting ""over $12,000 in campaign contributions"" from people affiliated with the service.
A lobbying firm that represents the classified service, SNR Denton, and its employees contributed to Koster’s campaign.
Koster’s office didn’t end its efforts to restrict Backpage after the donations were made. Greitens’ campaign says Koster’s efforts were hollow. But that’s up for interpretation.
The statement contains an element of truth, but ignores critical facts that would give a different impression.
We rate the statement Mostly False.
sub-questions:","1. Did Koster stop pursuing a case against this service after receiving campaign contributions?
2. Did a lobbying firm affiliated with this service make contributions to Koster's campaign?
3. Is there evidence supporting that this service promoted prostitution?
4. Did Koster fail to pursue a case because of campaign contributions from people affiliated with the service?
5. Did Koster at any time receive campaign contributions from people affiliated with a service he failed to pursue a case with?
6. Did Koster generally fail to pursue a case against a free classified service accused of promoting prostitution?"
"A state agency wanted to fire an employee who spent four hours per day watching pornography, but the state ""employment commission reinstated the person.""Walker said a state agency wanted to fire an employee who spent four hours per day watching pornography, but the state ""employment commission reinstated the person.""
The Department of Corrections in 2005 did terminate a state probation and parole agent who had been watching pornography on his computer for hours a day. The employee was given his job back not by a state commission, but by a private arbitrator, who was chosen jointly by the department and the employee’s union per a collective bargaining contract.
We rate Walker’s statement Mostly True.
.
More on public employees
State Sen. Jon Erpenbach says Scott Walker ""said he wouldn't touch"" the state civil service system but now supports overhauling it.Mostly False.
Mayor Tom Barrett says every general City of Milwaukee employee ""pays toward his or her pension, but approximately 88 percent of our police officers and firefighters do not.""Mostly True.
State Rep. Dale Kooyenga says the University of Wisconsin System  ""is larger than any business in the state of Wisconsin.""Mostly True.
sub-questions:","1. Was a state agency employee fired for watching pornography?
2. Was the state agency employee later reinstated?
3. Was the state agency employee reinstated by the employment commission?
4. Was there an verifiable case of a state agency wanting to fire an employee who spent hours a day watching porn?
5. Did the state’s employment commission at any time reinstate an employee who spent hours watching porn after firing them?
6. Was an employee reinstated after being fired for watching pornography?"
"Says Judge Amy Coney Barrett said that “gays have a right to be discriminated against because they are against God’s wishes” and that “white people are God’s chosen ones.”Facebook posts claim that Barrett said that ""gays have a right to be discriminated against because they are against Gods wishes"" and that ""white people are Gods chosen ones.""
Barrett has never said anything along these lines.
We rate these posts False. ​
sub-questions:","1. Did Judge Barrett explicitly say “ gays have a right to be discriminated against because they are against God ’s wishes ” and that “ white people are God ’s chosen ones . ”
2. Is there proof Judge Barrett said - “ gays have a right to be discriminated against because they are against God ’s wishes ” and that “ white people are God ’s chosen ones . ”
3.  Did Barrett say that gays have a right to be discriminated against?
4.  Did Barrett say that white people are God's chosen ones?
5.  Did Barrett say that gays are against God's wishes?"
"In the state rankings for ACT test scores, West Virginia ""is 30th. Which states are listed in the bottom? 15 states with charter schools.""Romano said that in the state rankings for ACT test scores, West Virginia ""is 30th. Which states are listed in the bottom? 15 states with charter schools.""
West Virginia did rank 30th in 2018 for ACT scores, but that’s where Romano’s accuracy ends. There are lots of charter-school states that rank below West Virginia -- but also lots of charter-school states that rank above West Virginia, simply because most states now allow charter schools.
We rate the statement Mostly False.
sub-questions:","1. Did West Virginia rank 30th by state for ACT scores?
2. Are there states with charter schools that have ACT scores that rank below West Virginia?
3. Do most states with charter schools that have ACT scores that rank below West Virginia?
4. Is WV ranked 30th among states for ACT scores?
5. Are charter schools the reasons for states with lower rankings of ACT scores?
6. Did any states with charter schools rank above WV?
7. Did every state that ranked below WV have charter schools?"
"""We have got 20 million folks out there across this land who have told the federal government, ‘Phooey, nonsense, I’m not going to participate in your program, because it doesn’t do what I need done.’ ""Price said, ""We have got 20 million folks out there across this land who have told the federal government, ‘Phooey, nonsense, I’m not going to participate in your program, because it doesn’t do what I need done.’ ""
Price mentioned the number of people who are either paying a fine because they don't have insurance or who are claiming an exemption, usually because they don't qualify for affordable coverage. About 6.5 million taxpayers reported the penalty in 2016 tax filings, and 12.7 million taxpayers claimed one or more exemptions, bringing the total to about 20 million.
But Price makes it sound like all of those people are simply declining coverage. In reality, many can't qualify for affordable coverage, even if they would like to.
We rate this claim Mostly False.
sub-questions:","1. Have these  people willfully declined federal coverage?
2. Do these people qualify for the federal coverage?
3. Do 20 million people not qualify for federal coverage?
4. Are there actually 20 million people choosing not to participate in a federal program because it doesn’t accomplish “what they need done”
5. Are there 20 million people involved in this context?
6. Was Tom Price correct to say there are 20 million people not involved this federal program?"
"Americans ""say that what they want is a choice"" to join a single-payer system like Medicare rather than ending private insurance.Buttigieg said that Americans ""say that what they want is a choice"" to join a single-payer system like Medicare rather than ending private insurance.
Polling on this question shows higher levels of support for an opt-in approach to expanding Medicare than for a required switch away from private insurance. We rate the statement True.
sub-questions:","1. Do Americans support a single - payer healthcare system?
2. Do Americans support a single - payer healthcare system under certain conditions?
3. Do Americans support ending private insurance?
4. Do Americans actually want to join single payer system than end private insurance?
5. Is there proof Americans want the choice to join a single payer system rather than end private insurance?
6. Do Americans prefer to have options in health care coverage? "
"""We now have longitudinal data that shows that children born around Superfund sites have dramatically higher rates of birth defects, dramatically higher rates of autism.""Booker is correct in saying data shows that children born near Superfund sites have higher rates of birth defects and autism. In this statement, he doesn’t specifically say there is a causal relationship — which is important, because the data does not necessarily say Superfund proximity causes those issues, and more research would be needed to support that claim.
The use of the word ""dramatically"" causes a bit of trouble, however. The datasets show statistically significant correlations. But that isn’t the same thing as a ""dramatically higher rate.""
The statement is true, but could use more context. We rate it Mostly True.
This fact check was reported and edited by Kaiser Health News. PolitiFact and KHN are partnering to fact-check claims about health care.
sub-questions:","1. Was Booker’s statement regarding children born near Superfund sites having higher rates of birth defects/autism true?
2. Is there a causal relationship between children born around Superfund sites and having a birth defect/autism?
3. Does the data truly indicate dramatically higher rates of birth defects and autism?
4. Do children born near Superfund sites have higher rates of birth defects?
5. Do children born near Superfund sites have dramatically higher rates of autism?
6. Can Superfund sites cause birth defects and autism?"
"""22 times Barack Obama said he did not have the authority to implement this type of"" anti-deportation ""measure. And then the day after he signed this into law, he said, quote, ‘I just changed the law.’""Abbott said that 22 times, Obama ""said he did not have the authority to implement this type of"" anti-deportation ""measure. And then the day after he signed this into law, he said, quote, ‘I just changed the law.’""
Like McCaul, Abbott overstates the number of confirmed instances of Obama indicating he couldn’t independently do more to prevent deportations. He also left out some of what Obama said about changing the law and was slightly off on the president’s timing. With these clarifications, though, Abbott’s statement is spot-on.
We rate the claim Mostly True.
MOSTLY TRUE– The statement is accurate but needs clarification or additional information.
Click here formoreon the six PolitiFact ratings and how we select facts to check.
sub-questions:","1. Did Obama say exactly 22 times he did not have the authority to implement anti-deportation measures?
2. Did Obama ever say he didn’t have the authority to adopt anti-deportation measures?
3. Was Obama’s change in law related to his authority to implement anti-deportation measures
4. Did Obama say 22 times that he lacked the authority to implement this measure?
5. Did Obama state that he signed this measure into law the day after it happened?
6. Did Obama change the law after it was passed?"
"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime — crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""Villaraigosa’s claim about a nearly 50 percent drop in violent crime during his time as LA mayor is backed up by LAPD crime statistics.
His explanation for why this drop in crime took place is more difficult to evaluate.
Experts we spoke with noted that violent crime had been falling well before Villaraigosa took office. They also said that key factors that drive crime trends, such as the economy, changing demographics and incarceration rates, are largely out of the control of a mayor.
Villaraigosa’s statement does not include this context.
Still, the mayor’s successful push to hire hundreds of new LAPD officers and focus on community policing is generally accepted as having, at the very least, some impact on reducing crime in the city.
Additionally, the current LAPD chief has praised Villaraigosa's strategies for reducing gang violence, saying they helped reduce violent crime.
We rate Villaraigosa’s claim Mostly True.
MOSTLY TRUE– The statement is accurate but needs clarification or additional information.
Click here formoreon the six PolitiFact ratings and how we select facts to check.
Governor’s race
Villaraigosa is amongseveral prominent Democratscompeting to succeed Jerry Brown in the 2018 California governor's race. Others include California TreasurerJohn Chiang; Delaine Eastin, the state’s former superintendent for public instruction; andGavin Newsom, the state’s current lieutenant governor.
Republican candidates include John Cox, a businessman from San Diego County and Travis Allen, an Orange County state assemblyman.
PolitiFact California is fact-checking claims in this race. See our""Tracking The Truth""governor’s race fact-checkshere.
Tracking the Truth: Hear a claim you want fact-checked? Email us at[email protected], tweet us@CAPolitiFactor contact us onFacebook.
sub-questions:","1. Was there a nearly 50% drop in violent crime in the 8 years Villaraigosa was mayor?
2. Is there some sort of a direct link between reduction of crime and growth of police department?
3. Is Villaraigosa’s time in office entirely, directly responsible for reduction in crime?
4. Was there a 50% drop in violent crime during Villaraigosa’s tenure as mayor?
5. Did violent crime fall by 50% because of these practices and programs?
6. Did Villaraigosa’s changes regarding policing practices have any impact on crime rates?"
"""The President has decided to move forward with executive actions on immigration that he has said on numerous occasions that he didn’t have the constitutional power to take.""Goodlatte said, ""The President has decided to move forward with executive actions on immigration that he has said on numerous occasions that he didn’t have the constitutional power to take.""
The record supports Goodlatte. We rate his statement True.
sub-questions:","1. Can the president take executive power on immigration?
2. Has the president previously stated that he does not have the authority to take executive power on immigration?
3. Has the president stated numerous times that he does not have the authority to take executive power on immigration?
4. Did the President move forward with executive actions on immigration he said said he didn’t have the constitutional power to take?
5. At any point in time, did the President say he didn’t have the constitutional power to take executive actions on immigration?"
"Says Supreme Court nominee Brett Kavanaugh’s opinion that a president ""may decline to enforce a statute . . . when the president deems the statute unconstitutional"" is ""contrary to 200 years of Supreme Court precedent.""Sanders said Kavanaugh’s belief that a president ""may decline to enforce a statute . . . when the president deems the statute unconstitutional"" is ""contrary to 200 years of Supreme Court precedent.""
In practical terms, presidents have indeed declined to enforce statutes they deemed unconstitutional. The question has never come before the court, however.Marbury vs. Madisonheld that the Supreme Court could declare statutes unconstitutional, but did not deny that presidents could also enforce constitutional principles.
We rate this statement Mostly False.
sub-questions:","1. Have past presidents declined to enforce a statute?
2. Can a president legally decline to enforce a statute?
3. Can the Supreme Court declare statutes unconstitutional?
4. Was Sanders correct to say Kavanaugh’s opinion was contrary to 200 years of supreme court president 
5. Did Kavanaugh have the opinion a president may decline to enforce a statute when deemed unconstitutional?
6. Does a president declining to enforce a statute they deem unconstitutional contrary to 200 years of supreme court precedent?"
"""The current school psychologist to student ratio in this country is roughly 1,400 to 1, while experts say it should be at most 700 to 1.""Biden’s specific claim about school psychologist-to-student ratios is correct, and it reflects a substantial problem for adolescent and pediatric mental health. But focusing on school psychologists alone doesn't encompass the entire issue.
And given the broader point he is making — that many kids cannot access mental health care in schools — his statement would benefit from more context.
Children may not have a ""school psychologist,"" but may still attend a school where another kind of psychologist or mental health professional is employed. That means they can still get care from a ""trained professional,"" even though the provider doesn’t have the same level of specialty training.
Biden’s claim is accurate but needs additional information. We rate it Mostly True.
sub-questions:","1. Have experts actually said the school psychologist ratio should be 700 to 1?
2. Is the current school psychologist ratio 1,400 to 1 in this country?
3. Do experts recommend the psychologist to student ratio to be 700 to 1?
4. Is the psychologist to student ratio currently 1400 to 1?
5. Do children have access to school psychologists?
6. Do these in-school professionals have the same level of specialty training as psychologists?"
"Says Erv Nelson voted ""yes on the pro-amnesty SJR 21, a bill urging Congress to provide citizenship for those residing illegally in our country.""Seaman says Nelson voted ""yes on the pro-amnesty SJR 21, a bill urging Congress to provide citizenship for those residing illegally in our country.""
To be clear, the ""bill"" was actually a resolution that holds no teeth. It calls for a pathway to citizenship for people not legally in the country. But it's too vague to blankly say it falls under the ""amnesty"" umbrella, and just doesn’t mean much in the grand scheme of the immigration debate.
We rate the claim Mostly True.
sub-questions:","1. Was this call for providing citizenship part of the bill itself?
2. Does this bill call for providing citizenship to those residing illegally in the country?
3. Would this call for citizenship fall under amnesty?
4. Did Nelson vote yes on this bill?
5. Did Nelson actually voted Yes on Pro-Amnesty SJR 21?
6. Does SJR 21 actually directly urge Congress to provide citizenship for those residing illegally?
7. Did Nelson vote to provide citizenship for those residing illegallly?"
"Says Donald Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""Baldwin says Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""
The thrust of Baldwin’s statement is correct. Federal officials in charge of reunification said after the order they ""are awaiting further guidance"" on how to proceed. But in fact the order does not address reunifying the 2,300 children with their parents, which is seen as a complicated process.
The order also says, as Baldwin claims, that families entering the country without permission will continue to be detained  — together, rather than parents and children being separated. But while the families would be in custody, at various facilities, Baldwin overreaches in saying the families would be put in jails.
Baldwin’s statement is accurate, but needs clarification  — our definition of Mostly True.
sub-questions:","1. Have over 2,000 children been separated from their parents?
2. Will families entering the country illegally be immediately put in jails?
3. Does the executive order specify that families entering the country illegally will no longer be separated?
4. Does Trump's executive order include a plan to reunify detained families that have already been separated?
5. Did Trumps executive order actually fail to address over 2,000 children already separated from parents?
6. Are children being jailed with their families?
7. Did Donald Trump have a previous policy of jailing children with their families?"
"If the mayor were really serious about supporting Philly's schoolchildren and handling our city's looming fiscal crisis, he could begin by slashing the size of his own administration, which is already 45 percent larger than his predecessor's and 40 percent more costly.Republican City Committee chairman Joe DeFelice suggested Mayor Jim Kenney examine the size of his administration before enacting something like the soda tax and argued it was 45 percent larger and 40 percent more costly than his predecessor Michael Nutter’s. Those numbers match up when comparing the staffers who report to Kenney to the staffers who reported to Nutter, but the reporting structure in city government doesn’t give the whole picture. Nutter’s Mayor’s Office was more costly than Kenney’s office is budgeted for this year, and his cabinet was larger than Kenney’s.
We rate the claim Half True.
sub-questions:","1. Were any offices in the mayor's administration more costly and larger than his predecessor?
2. Were most offices in the mayor's administration more costly and larger than his predecessor?
3. Would reducing the mayor's administration bring in more money to Philadelphia?
4. Do any offices within these administrations show this pattern?
5. Does this office represent the costs and scope of each administration as a whole?
6. Is Kenney's administration more expensive than the previous one?
7. Is Kenney's administration employ more people than the previous one?"
"Voting-rights legislation proposed by Democrats in Congress called H.R. 1 “would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.”California Republican Congressman Doug LaMalfa claimed H.R. 1 ""would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.""
His statement is partly correct but omits some significant points.
The proposed legislation would restore voting rights for all people convicted of a crime but only once they’ve completed their sentence and been released from incarceration.
LaMalfa also ignores the fact that the vast majority of states including California already restore voting rights for people convicted of a crime, either automatically upon their release or after a period of time.
Given these key omissions, we rated LaMalfa’s claim Half True.
HALF TRUE– The statement is partially accurate but leaves out important details or takes things out of context.
sub-questions:","1. Would HR 1 restore the voting rights of all felons, including violent offenders?
2. Would voting rights be given back to felons only after they had served their sentence?
3. Does this voting rights bill apply to violent felons?
4. Can these felons vote during their prison sentences?
5. Do any states have a similar policy that restores the voting rights of felons?
6. Will all of these felons have their voting rights restored immediately upon release?"
