WorkerId,Input.id,Input.who,Input.when_where,Input.claim,Input.evidence,Input.label,Answer.user-output
A3G2EJMNLQI49Q,1636,Hillary Clinton,"stated on July 26, 2016 in a video shown at the Democratic convention:","Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""","Hillary Clinton, in a campaign ad shown at the Democratic convention, said that when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""
The four-second clip has not been doctored. But this is an example of where context can be crucial.
It omits the fact that Stern is the interviewer. The opening question of whether Trump said he treats women like feces, Trump's denial, Stern's assessment that it's ""somewhere in between"" and Trump's subsequent response that ""I treat women with great respect"" are all missing.
Because so much is ignored in this brief clip— information that could give a different impression — we rate the claim Mostly False.",barely-true,"[{""question"":""Did Donald Trump say \""I can't say that\"" when asked if he treats women with respect?"",""answer"":""Yes"",""evidence"":"" when an interviewer asked Donald Trump if he treats women with respect , Trump replied , \"" I ca n't say that . \"""",""from-where"":""claim""},{""question"":""Did Trump say that he treats women with respect when asked the same question in the same interview?"",""answer"":""Yes"",""evidence"":""when an interviewer asked Donald Trump if he treats women with respect , Trump replied , \"" I ca n't say that . \"""",""from-where"":""claim""}]"
A248M9BK62RL5L,1636,Hillary Clinton,"stated on July 26, 2016 in a video shown at the Democratic convention:","Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""","Hillary Clinton, in a campaign ad shown at the Democratic convention, said that when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""
The four-second clip has not been doctored. But this is an example of where context can be crucial.
It omits the fact that Stern is the interviewer. The opening question of whether Trump said he treats women like feces, Trump's denial, Stern's assessment that it's ""somewhere in between"" and Trump's subsequent response that ""I treat women with great respect"" are all missing.
Because so much is ignored in this brief clip— information that could give a different impression — we rate the claim Mostly False.",barely-true,"[{""question"":""Did Trump respond \""I can't say that\"" directly to when asked if he treats women with respect?\n\n"",""answer"":""No"",""evidence"":""The opening question of whether Trump said he treats women like feces, Trump's denial, and Trump's subsequent response that \""I treat women with great respect\"" are all missing."",""from-where"":""Reasoning""},{""question"":""In general, was Trump asked about how he treats women?"",""answer"":""Yes"",""evidence"":""The opening question of whether Trump said he treats women like feces"",""from-where"":""Reasoning""},{""question"":""Has Trump responded to being asked if he treats with women with respect?"",""answer"":""Yes"",""evidence"":""Trump's denial, and Trump's subsequent response that \""I treat women with great respect\"" are all missing."",""from-where"":""Reasoning""}]"
A3G2EJMNLQI49Q,1694,Donald Trump,"stated on March 17, 2020 in a White House news conference:","“I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.”","Trump said that he’s ""always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.""
Until late February, Trump spoke as though the U.S. problem was limited and well under control. That description is at odds with the nature of a pandemic.
We can’t know what was in Trump’s mind when he aimed to reassure the public, but his words did not fit with the threat of a pandemic.
Trump’s claim that he was always aware of it being a pandemic is contradicted by his many early comments. His statement now is not accurate. We rate this claim Pants on Fire!",pants-fire,"[{""question"":""Did Trump speak and act as if we were in a pandemic before late February, 2020?"",""answer"":""No"",""evidence"":""I 've always known this is a real , this is a pandemic . I 've felt it was a pandemic long before it was called a pandemic"",""from-where"":""claim""}]"
A248M9BK62RL5L,1694,Donald Trump,"stated on March 17, 2020 in a White House news conference:","“I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.”","Trump said that he’s ""always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.""
Until late February, Trump spoke as though the U.S. problem was limited and well under control. That description is at odds with the nature of a pandemic.
We can’t know what was in Trump’s mind when he aimed to reassure the public, but his words did not fit with the threat of a pandemic.
Trump’s claim that he was always aware of it being a pandemic is contradicted by his many early comments. His statement now is not accurate. We rate this claim Pants on Fire!",pants-fire,"[{""question"":""Did Trump speak on the threat/problems of the pandemic at any time before official statements were made by other sources/agencies?"",""answer"":""No"",""evidence"":""Until late February, Trump spoke as though the U.S. problem was limited and well under control. That description is at odds with the nature of a pandemic.\n\nWe can’t know what was in Trump’s mind when he aimed to reassure the public, but his words did not fit with the threat of a pandemic."",""from-where"":""Reasoning""},{""question"":""Did Trump affirm the reality/threat of the pandemic long before it was called a pandemic?\n"",""answer"":""No"",""evidence"":""Until late February, Trump spoke as though the U.S. problem was limited and well under control. That description is at odds with the nature of a pandemic.\n\nWe can’t know what was in Trump’s mind when he aimed to reassure the public, but his words did not fit with the threat of a pandemic."",""from-where"":""Reasoning""}]"
A3G2EJMNLQI49Q,1697,Richard Durbin,"stated on January 10, 2017 in Sessions' Senate confirmation hearing for attorney general:","Of Sen. Jeff Sessions, ""you've objected to immigrants volunteering to serve in our armed forces, saying, 'In terms of who's going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?'""","During Sessions’ Senate confirmation for attorney general, Durbin told him, ""You've objected to immigrants volunteering to serve in our armed forces, saying, 'In terms of who's going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?'""
In a 2014 radio interview, Sessions discusses immigrants in the military and raises concerns about a man from Kenya serving in the military, after allegations of the man trying to extort a local family. Sessions does question who’s more likely to be a spy -- somebody from Alabama or Kenya.
The radio conversation includes comments about a subset of immigrants, people in the country illegally. With military reductions on the table, Sessions said ""the last thing we need"" is to get rid of people who have served in the military and bring in ""people who are illegally in the country.""
Durbin’s statement is accurate but needs clarification, so we rate it Mostly True.",mostly-true,"[{""question"":""Did Sessions object to immigrants serving in the military?"",""answer"":""Yes"",""evidence"":"" Of Sen. Jeff Sessions , \"" you 've objected to immigrants volunteering to serve in our armed forces "",""from-where"":""claim""},{""question"":""Did Sessions say someone from Kenya is more likely to be a spy than someone from Alabama?"",""answer"":""Yes"",""evidence"":""Of Sen. Jeff Sessions , \"" you 've objected to immigrants volunteering to serve in our armed forces , saying , ' In terms of who 's going to be most likely to be a spy , somebody from Cullman , Ala. , or somebody from Kenya ? ' \"""",""from-where"":""claim""}]"
A248M9BK62RL5L,1697,Richard Durbin,"stated on January 10, 2017 in Sessions' Senate confirmation hearing for attorney general:","Of Sen. Jeff Sessions, ""you've objected to immigrants volunteering to serve in our armed forces, saying, 'In terms of who's going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?'""","During Sessions’ Senate confirmation for attorney general, Durbin told him, ""You've objected to immigrants volunteering to serve in our armed forces, saying, 'In terms of who's going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?'""
In a 2014 radio interview, Sessions discusses immigrants in the military and raises concerns about a man from Kenya serving in the military, after allegations of the man trying to extort a local family. Sessions does question who’s more likely to be a spy -- somebody from Alabama or Kenya.
The radio conversation includes comments about a subset of immigrants, people in the country illegally. With military reductions on the table, Sessions said ""the last thing we need"" is to get rid of people who have served in the military and bring in ""people who are illegally in the country.""
Durbin’s statement is accurate but needs clarification, so we rate it Mostly True.",mostly-true,"[{""question"":""Did Sessions generally object to immigrants volunteering in armed forces?\n"",""answer"":""Yes"",""evidence"":""The radio conversation includes comments about a subset of immigrants, people in the country illegally. With military reductions on the table, Sessions said \""the last thing we need\"" is to get rid of people who have served in the military and bring in \""people who are illegally in the country.\"""",""from-where"":""Reasoning""},{""question"":""Did Sessions actually say 'In terms of who's going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?'\"""",""answer"":""Yes"",""evidence"":""In a 2014 radio interview, Sessions discusses immigrants in the military and raises concerns about a man from Kenya serving in the military, after allegations of the man trying to extort a local family. Sessions does question who’s more likely to be a spy -- somebody from Alabama or Kenya."",""from-where"":""Reasoning""}]"
A3G2EJMNLQI49Q,1610,Corey Stewart,"stated on July 21, 2018 in a debate:","""President Trump proposed the increase to $700 billion to our military budget, which included the 355-ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Sen. Tim Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.""","Stewart said, ""President Trump proposed the increase to $700 billion to our military budget, which included the 355-ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.""
Kaine did vote no on a short-term government spending bill, which included several of the military-related provisions Stewart cited, in order to signal his disapproval for another short-term budget resolution. However, Kaine eventually voted in favor of those same provisions when he said yes to the omnibus spending bill on March 23, and he has taken other actions and made other statements in support of those provisions.
We rate Stewart’s statement Mostly False.",barely-true,"[{""question"":""Did Kaine ultimately support the 700 billion increase to the military budget?"",""answer"":""Yes"",""evidence"":""President Trump proposed the increase to $ 700 billion to our military budget , which included the 355 - ship Navy , which included a military pay increase , a modest one , which included , a yet even more modest housing allowance , but yet ( Sen. Tim Kaine ) even voted against giving more money to our men and women who are in the military service and against our housing allowance"",""from-where"":""claim""},{""question"":""Did Kaine initially vote against some of this military spending?"",""answer"":""Yes"",""evidence"":""Kaine did vote no on a short-term government spending bill, which included several of the military-related provisions Stewart cited, in order to signal his disapproval for another short-term budget resolution."",""from-where"":""reasoning""}]"
A248M9BK62RL5L,1610,Corey Stewart,"stated on July 21, 2018 in a debate:","""President Trump proposed the increase to $700 billion to our military budget, which included the 355-ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Sen. Tim Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.""","Stewart said, ""President Trump proposed the increase to $700 billion to our military budget, which included the 355-ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.""
Kaine did vote no on a short-term government spending bill, which included several of the military-related provisions Stewart cited, in order to signal his disapproval for another short-term budget resolution. However, Kaine eventually voted in favor of those same provisions when he said yes to the omnibus spending bill on March 23, and he has taken other actions and made other statements in support of those provisions.
We rate Stewart’s statement Mostly False.",barely-true,"[{""question"":""Overall, did Kaine vote/support against giving more money to the military/against housing allowance?"",""answer"":""No"",""evidence"":""Kaine did vote no on a short-term government spending bill, which included several of the military-related provisions Stewart cited,\nHowever, Kaine eventually voted in favor of those same provisions when he said yes to the omnibus spending bill on March 23, and he has taken other actions and made other statements in support of those provisions."",""from-where"":""Reasoning""},{""question"":""Did Kaine ever vote in support of increase military spending?"",""answer"":""Yes"",""evidence"":""However, Kaine eventually voted in favor of those same provisions when he said yes to the omnibus spending bill on March 23, and he has taken other actions and made other statements in support of those provisions."",""from-where"":""Reasoning""}]"
A248M9BK62RL5L,1800,Paul Manafort,"stated on August 14, 2016 in an interview on ""State of the Union"":","In Hillary Clinton's tax returns, ""you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well.""","Manafort said, ""In Mrs. Clinton’s returns, you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well.""
The returns for 2015 do show that two educational firms that have donated millions to the Clinton Foundation also paid about $1.6 million to Bill Clinton for consulting services. That’s just 15 percent of the Clintons’ total income in 2015, but ""a lot"" of money to most people.
But we found no evidence that either of those businesses profited from Hillary Clinton’s actions at the State Department. The Trump campaign did not respond to our query with examples of other businesses donating to the foundation and then profiting from the department, and we did not find any in our search.
We rate Manafort’s claim Half True.",half-true,"[{""question"":""Did Clinton's tax returns reveal income from donors at the Clinton Foundation?"",""answer"":""Yes"",""evidence"":""The returns for 2015 do show that two educational firms that have donated millions to the Clinton Foundation also paid about $1.6 million to Bill Clinton for consulting services. That’s just 15 percent of the Clintons’ total income in 2015, but \""a lot\"" of money to most people."",""from-where"":""Reasoning""},{""question"":""Did Clinton's tax returns reveal income from people associated from her State Department Term?"",""answer"":""No"",""evidence"":""But we found no evidence that either of those businesses profited from Hillary Clinton’s actions at the State Department. The Trump campaign did not respond to our query with examples of other businesses donating to the foundation and then profiting from the department, and we did not find any in our search."",""from-where"":""Reasoning""}]"
A3G2EJMNLQI49Q,1800,Paul Manafort,"stated on August 14, 2016 in an interview on ""State of the Union"":","In Hillary Clinton's tax returns, ""you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well.""","Manafort said, ""In Mrs. Clinton’s returns, you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well.""
The returns for 2015 do show that two educational firms that have donated millions to the Clinton Foundation also paid about $1.6 million to Bill Clinton for consulting services. That’s just 15 percent of the Clintons’ total income in 2015, but ""a lot"" of money to most people.
But we found no evidence that either of those businesses profited from Hillary Clinton’s actions at the State Department. The Trump campaign did not respond to our query with examples of other businesses donating to the foundation and then profiting from the department, and we did not find any in our search.
We rate Manafort’s claim Half True.",half-true,"[{""question"":""Did Clinton receive a lot of income from donors to the Clinton Foundation?"",""answer"":""Yes"",""evidence"":"" In Hillary Clinton 's tax returns , \"" you saw a lot of income coming from donors to the Clinton Foundation"",""from-where"":""claim""},{""question"":""Did Clinton receive a lot of income from people who benefited from her state department work?"",""answer"":""No"",""evidence"":"" In Hillary Clinton 's tax returns , \"" you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well"",""from-where"":""claim""}]"
A3G2EJMNLQI49Q,1495,Tammy Baldwin,"stated on November 19, 2020 in Twitter:",“Americans are paying the highest price in the world for Remdesivir because the Trump administration is allowing Gilead Sciences to jack up the prices on this #COVID19 treatment.”,"Baldwin says Americans are paying more for remdesivir than people in other countries, and the Trump Administration is to blame.
The price element is correct. On average, Americans insured by private health insurance companies could be on the hook for an additional $780 over what people in countries with national health systems may pay.
But the blame element misses the mark.
While Trump may have a slight influence over drug prices with his appointee to run the U.S. Department of Health and Human Services, there is really no way for the administration to step in and tell Gilead to charge less for remdesivir without a change in federal laws or invoking a rarely used maneuver to effectively seize the patent from the company.
We rate this claim as Half True.",half-true,"[{""question"":""Are Americans paying the highest price in the world for remdesivir?"",""answer"":""Yes"",""evidence"":"" Americans are paying the highest price in the world for Remdesivir "",""from-where"":""claim""},{""question"":""Is Trump responsible for how much Gilead is charging?"",""answer"":""No"",""evidence"":""Americans are paying the highest price in the world for Remdesivir because the Trump administration is allowing Gilead Sciences to jack up the prices on this # COVID19 treatment "",""from-where"":""claim""}]"
A248M9BK62RL5L,1495,Tammy Baldwin,"stated on November 19, 2020 in Twitter:",“Americans are paying the highest price in the world for Remdesivir because the Trump administration is allowing Gilead Sciences to jack up the prices on this #COVID19 treatment.”,"Baldwin says Americans are paying more for remdesivir than people in other countries, and the Trump Administration is to blame.
The price element is correct. On average, Americans insured by private health insurance companies could be on the hook for an additional $780 over what people in countries with national health systems may pay.
But the blame element misses the mark.
While Trump may have a slight influence over drug prices with his appointee to run the U.S. Department of Health and Human Services, there is really no way for the administration to step in and tell Gilead to charge less for remdesivir without a change in federal laws or invoking a rarely used maneuver to effectively seize the patent from the company.
We rate this claim as Half True.",half-true,"[{""question"":""Are Americans paying the highest price in the world for Remdesivir in general?"",""answer"":""Yes"",""evidence"":""The price element is correct. On average, Americans insured by private health insurance companies could be on the hook for an additional $780 over what people in countries with national health systems may pay."",""from-where"":""Reasoning""},{""question"":""In general, did Gilead Science change their prices for Remdsivir? \n"",""answer"":""Yes"",""evidence"":""The price element is correct. On average, Americans insured by private health insurance companies could be on the hook for an additional $780 over what people in countries with national health systems may pay."",""from-where"":""Reasoning""},{""question"":""Are American’s paying higher prices for Remdesivir directly because of Trump allowing Gilead Science to increase pricing?\n"",""answer"":""No"",""evidence"":""While Trump may have a slight influence over drug prices with his appointee to run the U.S. Department of Health and Human Services, there is really no way for the administration to step in and tell Gilead to charge less for remdesivir without a change in federal laws or invoking a rarely used maneuver to effectively seize the patent from the company."",""from-where"":""Reasoning""}]"
A248M9BK62RL5L,1809,Facebook posts,"stated on March 31, 2020 in posts on the Internet:","If you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says “the government planned” it.","Facebook posts say that if you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says ""the government planned"" it and refers to something called ""Event 201.""
There was a project called Event 201 that simulated possible outcomes of a coronavirus pandemic, but it was a planning exercise and did not predict this specific COVID-19 pandemic.
More importantly, we were unable to elicit the same answer from Alexa, and Amazon told us that the answer to that question would be different.
We rate the statement False.",FALSE,"[{""question"":""Does Alexa say \""the government planned it\"" if asked about the origins of the pandemic?"",""answer"":""No"",""evidence"":""More importantly, we were unable to elicit the same answer from Alexa, and Amazon told us that the answer to that question would be different."",""from-where"":""Reasoning""},{""question"":""In general, does Alexa provide a response when asked about the origins of the pandemic?"",""answer"":""Yes"",""evidence"":""More importantly, we were unable to elicit the same answer from Alexa, and Amazon told us that the answer to that question would be different."",""from-where"":""Reasoning""}]"
A3G2EJMNLQI49Q,1809,Facebook posts,"stated on March 31, 2020 in posts on the Internet:","If you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says “the government planned” it.","Facebook posts say that if you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says ""the government planned"" it and refers to something called ""Event 201.""
There was a project called Event 201 that simulated possible outcomes of a coronavirus pandemic, but it was a planning exercise and did not predict this specific COVID-19 pandemic.
More importantly, we were unable to elicit the same answer from Alexa, and Amazon told us that the answer to that question would be different.
We rate the statement False.",FALSE,"[{""question"":""Does Alexa say that \""the government planned it\"" when asked about the origins of the covid pandemic?"",""answer"":""No"",""evidence"":"" If you ask Amazon ’s Alexa about the origin of the coronavirus pandemic , it says “ the government planned ” it ."",""from-where"":""claim""}]"
A248M9BK62RL5L,1770,Ivanka Trump,"stated on June 12, 2017 in an interview on ""Fox & Friends"":","""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""","Ivanka Trump said, ""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""
She’s right on the first figure, and she’s close on the second, according to the most recent comprehensive data. But because she’s a few percentage points off on the latter figure, we rate her statement Mostly True.",mostly-true,"[{""question"":""Do women represent 47% of the work force?\n\n\n"",""answer"":""Yes"",""evidence"":""She’s right on the first figure"",""from-where"":""Reasoning""},{""question"":""Do women make up only 23% of the workforce?"",""answer"":""No"",""evidence"":""But because she’s a few percentage points off on the latter figure"",""from-where"":""Reasoning""},{""question"":""In general, do women make up less than 50% of the STEM workforce?"",""answer"":""Yes"",""evidence"":""and she’s close on the second, according to the most recent comprehensive data.But because she’s a few percentage points off on the latter figure, we rate her statement Mostly True."",""from-where"":""Reasoning""}]"
A3G2EJMNLQI49Q,1770,Ivanka Trump,"stated on June 12, 2017 in an interview on ""Fox & Friends"":","""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""","Ivanka Trump said, ""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""
She’s right on the first figure, and she’s close on the second, according to the most recent comprehensive data. But because she’s a few percentage points off on the latter figure, we rate her statement Mostly True.",mostly-true,"[{""question"":""Do women make up 47% of the workforce?"",""answer"":""Yes"",""evidence"":""While ( women ) represent 47 percent of the overall work force "",""from-where"":""claim""},{""question"":""Do women make up close to 23% of STEM occupations?"",""answer"":""Yes"",""evidence"":""While ( women ) represent 47 percent of the overall work force , we only make up 23 percent of STEM - related occupations . \"""",""from-where"":""claim""}]"
A3G2EJMNLQI49Q,1642,Jennifer Carroll Foy,"stated on March 16, 2021 in a forum.:",“Two out of our last three governors in Virginia were investigated by the FBI. One went to jail and one is running for office again in this election.”,"Carroll Foy said, ""Two out of our last three governors in Virginia were investigated by the FBI. One went to jail and one is running for office again in this election.""
She’s right that McDonnell and McAuliffe were investigated by the FBI during their terms, but Carroll Foy omits that McAuliffe was never accused of wrongdoing. McDonnell, on the other hand, was convicted of corruption and sentenced to two years in prison. The Supreme Court vacated his conviction, however, and McDonnell never spent a moment behind bars. Carroll Foy’s campaign acknowledges she misspoke on this part of her claim.
Overall, we rate Carroll Foy’s statement Half True.
CORRECTION, April 5, 2021:An earlier version of this story had the wrong last name for Jake Rubenstein.",half-true,"[{""question"":""Were 2 of the last 3 governors of Virginia investigated by the FBI?"",""answer"":""Yes"",""evidence"":"" Two out of our last three governors in Virginia were investigated by the FBI "",""from-where"":""claim""},{""question"":""Did one go to jail and one run for reelection?"",""answer"":""Yes"",""evidence"":""One went to jail and one is running for office again in this election"",""from-where"":""claim""},{""question"":""Was the governor who ran for reelection found to have done anything wrong by the FBI?"",""answer"":""No"",""evidence"":""Carroll Foy omits that McAuliffe was never accused of wrongdoing"",""from-where"":""reasoning""}]"
A248M9BK62RL5L,1642,Jennifer Carroll Foy,"stated on March 16, 2021 in a forum.:",“Two out of our last three governors in Virginia were investigated by the FBI. One went to jail and one is running for office again in this election.”,"Carroll Foy said, ""Two out of our last three governors in Virginia were investigated by the FBI. One went to jail and one is running for office again in this election.""
She’s right that McDonnell and McAuliffe were investigated by the FBI during their terms, but Carroll Foy omits that McAuliffe was never accused of wrongdoing. McDonnell, on the other hand, was convicted of corruption and sentenced to two years in prison. The Supreme Court vacated his conviction, however, and McDonnell never spent a moment behind bars. Carroll Foy’s campaign acknowledges she misspoke on this part of her claim.
Overall, we rate Carroll Foy’s statement Half True.
CORRECTION, April 5, 2021:An earlier version of this story had the wrong last name for Jake Rubenstein.",half-true,"[{""question"":""Were the last 2/3 governors in Virginia investigated by the FBI?"",""answer"":""Yes"",""evidence"":""She’s right that McDonnell and McAuliffe were investigated by the FBI during their terms, "",""from-where"":""Reasoning""},{""question"":""Did one of governors of Virginia, also investigated by the FBI, currently run for office?"",""answer"":""N/A"",""evidence"":""one is running for office again in this election . ”"",""from-where"":""Claim""},{""question"":""Did one of the FBI investigated Virginia governors go to jail?"",""answer"":""No"",""evidence"":""McDonnell, on the other hand, was convicted of corruption and sentenced to two years in prison. The Supreme Court vacated his conviction, however, and McDonnell never spent a moment behind bars. "",""from-where"":""Reasoning""}]"
A248M9BK62RL5L,1780,Facebook posts,"stated on March 23, 2021 in a Facebook post:",Says Ford agreed to invest $900 million at an Ohio plant because Donald Trump “lowered taxes” and is now moving the project to Mexico because Joe Biden is “increasing taxes.”,"A post shared on Facebook claims that Trump ""lowered taxes and in 2019 Ford made a commitment to invest $900 million at its Avon Lake, OH plant,"" and Biden is ""increasing taxes and now the entire Ford project is moving to Mexico.""
There are signs that Ford might be shifting plans for manufacturing a new model of vehicle from Ohio to Mexico.
But there are no indications that Trump’s tax cuts led to the initial plans in Ohio or that Biden’s possible tax hikes had any role in a possible shift in those plans to Mexico.
For a post that contains only an element of truth and leaves out important context, our rating is Mostly False.",barely-true,"[{""question"":""Did/Will Ford move the Ohio plant project to Mexico?"",""answer"":""Yes"",""evidence"":""There are signs that Ford might be shifting plans for manufacturing a new model of vehicle from Ohio to Mexico."",""from-where"":""Reasoning""},{""question"":""Did/Will Ford move the Ohio plant project because of Biden’s tax increase?\n"",""answer"":""No"",""evidence"":""But there are no indications that Trump’s tax cuts led to the initial plans in Ohio or that Biden’s possible tax hikes had any role in a possible shift in those plans to Mexico."",""from-where"":""Reasoning""},{""question"":""Did Ford agree on a million dollar investment at an Ohio plant directly because Trump lowered Taxes?"",""answer"":""No"",""evidence"":""But there are no indications that Trump’s tax cuts led to the initial plans in Ohio or that Biden’s possible tax hikes had any role in a possible shift in those plans to Mexico."",""from-where"":""Reasoning""}]"
A3G2EJMNLQI49Q,1780,Facebook posts,"stated on March 23, 2021 in a Facebook post:",Says Ford agreed to invest $900 million at an Ohio plant because Donald Trump “lowered taxes” and is now moving the project to Mexico because Joe Biden is “increasing taxes.”,"A post shared on Facebook claims that Trump ""lowered taxes and in 2019 Ford made a commitment to invest $900 million at its Avon Lake, OH plant,"" and Biden is ""increasing taxes and now the entire Ford project is moving to Mexico.""
There are signs that Ford might be shifting plans for manufacturing a new model of vehicle from Ohio to Mexico.
But there are no indications that Trump’s tax cuts led to the initial plans in Ohio or that Biden’s possible tax hikes had any role in a possible shift in those plans to Mexico.
For a post that contains only an element of truth and leaves out important context, our rating is Mostly False.",barely-true,"[{""question"":""Is there evidence that Ford invested in a plant in Ohio because Trump lowered taxes?"",""answer"":""No"",""evidence"":""Ford agreed to invest $ 900 million at an Ohio plant because Donald Trump “ lowered taxes ” "",""from-where"":""claim""},{""question"":""Is there evidence that Ford is moving the plant from Ohio to Mexico because Biden raised taxes?"",""answer"":""No"",""evidence"":""Ford agreed to invest $ 900 million at an Ohio plant because Donald Trump “ lowered taxes ” and is now moving the project to Mexico because Joe Biden is “ increasing taxes . ”"",""from-where"":""claim""},{""question"":""Is Ford moving a plant from Ohio to Mexico?"",""answer"":""Yes"",""evidence"":""Ford agreed to invest $ 900 million at an Ohio plant because Donald Trump “ lowered taxes ” and is now moving the project to Mexico because Joe Biden is “ increasing taxes . ”"",""from-where"":""claim""}]"
A248M9BK62RL5L,1590,Ted Cruz,"stated on May 11, 2021 in a meeting:",The voting rights bill “would register millions of illegal aliens to vote. It is intended to do that.”,"During a Senate committee meeting over a Democratic voting rights bill, Cruz said that the bill will ""register millions of illegal aliens to vote."" He also said that this is the Democrats’ intent behind this bill because Democrats believe these people ""are likely to vote for Democrats.""
His claim is based on a requirement in the bill that directs states to adopt automatic voter registration systems, which 19 states and Washington D.C. already have. But a section of the law instructs state agencies to share information for voter registration purposes only for citizens. People are also required to attest to their citizenship under penalties of perjury.
The bill also does not change the fact that local election agencies would still be required to vet an applicant’s voting eligibility, as they have done in the past.
Although glitches and malfunctions of automatic registration systems have been recorded, they are rare and easily corrected.
We rate this claim Pants on Fire.",pants-fire,"[{""question"":""Would the voting rights bill register illegal aliens to vote?\n\n"",""answer"":""No"",""evidence"":""His claim is based on a requirement in the bill that directs states to adopt automatic voter registration systems, which 19 states and Washington D.C. already have. But a section of the law instructs state agencies to share information for voter registration purposes only for citizens. People are also required to attest to their citizenship under penalties of perjury."",""from-where"":""Reasoning""},{""question"":""Is the intention of the voting rights bill to register illegal aliens?"",""answer"":""No"",""evidence"":""His claim is based on a requirement in the bill that directs states to adopt automatic voter registration systems, which 19 states and Washington D.C. already have. But a section of the law instructs state agencies to share information for voter registration purposes only for citizens. People are also required to attest to their citizenship under penalties of perjury."",""from-where"":""Reasoning""},{""question"":""Are illegal aliens necessarily able to vote even if they are registered?"",""answer"":""No"",""evidence"":""The bill also does not change the fact that local election agencies would still be required to vet an applicant’s voting eligibility, as they have done in the past."",""from-where"":""Reasoning""}]"
A3G2EJMNLQI49Q,1590,Ted Cruz,"stated on May 11, 2021 in a meeting:",The voting rights bill “would register millions of illegal aliens to vote. It is intended to do that.”,"During a Senate committee meeting over a Democratic voting rights bill, Cruz said that the bill will ""register millions of illegal aliens to vote."" He also said that this is the Democrats’ intent behind this bill because Democrats believe these people ""are likely to vote for Democrats.""
His claim is based on a requirement in the bill that directs states to adopt automatic voter registration systems, which 19 states and Washington D.C. already have. But a section of the law instructs state agencies to share information for voter registration purposes only for citizens. People are also required to attest to their citizenship under penalties of perjury.
The bill also does not change the fact that local election agencies would still be required to vet an applicant’s voting eligibility, as they have done in the past.
Although glitches and malfunctions of automatic registration systems have been recorded, they are rare and easily corrected.
We rate this claim Pants on Fire.",pants-fire,"[{""question"":""Would the voting rights bill register millions of illegal aliens to vote?"",""answer"":""No"",""evidence"":""The voting rights bill “ would register millions of illegal aliens to vote"",""from-where"":""claim""}]"
